,title,genres,content,director,stars,time
0, Jackass Forever (2022),"['Documentary', 'Action', 'Comedy']","
After 11 years, the Jackass crew is back for their final crusade.                    ",Jeff Tremaine,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Eric André']",96 min
1, 더 블랙 폰 (2021),"['15', 'Horror']","
After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.                    ",Scott Derrickson,"['Ethan Hawke', 'Jeremy Davies', 'James Ransone', 'Madeleine McGraw']",102 min
2, Moonfall (2022),"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","
In Moonfall, a mysterious force knocks the Moon from its orbit around Earth and sends it hurdling on a collision course with life as we know it. With mere weeks before impact and the world on the brink of annihilation, NASA executive and former astronaut Jo Fowler is convinced she has the key to saving us all - but only one astronaut from her past, Brian Harper and a conspiracy theorist K.C. Houseman believe her. These unlikely heroes will mount an impossible last-ditch mission into space, leaving behind everyone they love, only to find that they might have prepared for the wrong mission.                    ",Roland Emmerich,"['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Michael Peña']",120 min
3, Death on the Nile (2022),"['Crime', 'Drama', 'Mystery']","
While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.                    ",Kenneth Branagh,"['Kenneth Branagh', 'Gal Gadot', 'Tom Bateman', 'Rose Leslie']",127 min
4, Blacklight (2022),"['Action', 'Thriller']","
Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.                    ",Mark Williams,"['Liam Neeson', 'Aidan Quinn', 'Taylor John Smith', 'Emmy Raver-Lampman']",108 min
5, Catwoman: Hunted (2022),"['Animation', 'Action', 'Sci-Fi']","
Follows Catwoman in an attempt to steal a priceless jewel. This puts her squarely in the crosshairs of both a powerful consortium of villains, Interpol and Batwoman.                    ",Shinsuke Terasawa,"['Stephanie Beatriz', 'Lauren Cohan', 'Kelly Hu', 'Jonathan Banks']",108 min
6, Marry Me (2022),"['Comedy', 'Music', 'Romance']","
Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.                    ",Kat Coiro,"['John Bradley', 'Owen Wilson', 'Jennifer Lopez', 'Utkarsh Ambudkar']",112 min
7, What About Love (2023),"['Drama', 'Romance']","
Two young lovers change the lives of their parents forever when the parents learn from the joyful experience of their kids, and allow themselves to again find their love.                    ",Klaus Menzel,"['Sharon Stone', 'Andy Garcia', 'Rosabell Laurenti Sellers', 'Marielle Jaffe']",114 min
8, The Devil's Light (2022),"['Horror', 'Thriller']","
A nun prepares to perform an exorcism and comes face to face with a demonic force with mysterious ties to her past.                    ",Daniel Stamm,"['Virginia Madsen', 'Nicholas Ralph', 'Christian Navarro', 'Colin Salmon']",93 min
9, The Amazing Maurice,"['Animation', 'Family']","
This story follows Maurice, a streetwise cat, who has the perfect money-making scam. He finds a dumb-looking kid who plays a pipe and has his very own horde of rats, who are strangely literate.                    ",Toby Genkel,"['Hugh Laurie', 'Emilia Clarke', 'David Thewlis', 'Himesh Patel']",84 min
10, Uncharted (2022),"['Action', 'Adventure']","
The story is a prequel to the games, starring Holland as a younger Drake, showing us details of how he came to meet and befriend Sully.                    ",Ruben Fleischer,"['Tom Holland', 'Mark Wahlberg', 'Sophia Ali', 'Antonio Banderas']",84 min
11, 럼블 (2021),"['Animation', 'Comedy', 'Family', 'Fantasy', 'Sport']","
In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.                    ",Hamish Grieve,"['Geraldine Viswanathan', 'Will Arnett', 'Stephen A. Smith', 'Terry Crews']",104 min
12, Ambulance (2022),"['Action', 'Crime', 'Drama', 'Thriller']","
Two robbers steal an ambulance after their heist goes awry.                    ",Michael Bay,"['Jake Gyllenhaal', 'Eiza González', 'Yahya Abdul-Mateen II', 'Devan Chandler Long']",104 min
13, Dog (2022),['Comedy'],"
Briggs who, alongside his companion Lulu, a Belgian Malinois haul ass down the Pacific Coast in time to catch their best friend's and handler's funeral. One of them has a week to live, the other lives like every day is his last.                    ",Reid Carolin,"['Channing Tatum', ""Q'orianka Kilcher"", 'Kevin Nash', 'Jane Adams']",90 min
14, The Ghosts of Borley Rectory (2021),"['Drama', 'Horror', 'Mystery', 'Thriller']","
Harry Price investigates the ghosts of Borley Rectory during his stay there.                    ",Steven M. Smith,"['Toby Wynn-Davies', 'Julian Sands', 'Colin Baker', 'Christopher Ellison']",80 min
15, The Outfit (2022),"['Crime', 'Drama']","
An expert tailor must outwit a dangerous group of mobsters in order to survive a fateful night.                    ",Graham Moore,"['Mark Rylance', 'Zoey Deutch', ""Dylan O'Brien"", 'Johnny Flynn']",105 min
16, 마더링 선데이 (2021),"['Drama', 'Romance']","
A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman.                    ",Eva Husson,"['Odessa Young', ""Josh O'Connor"", 'Colin Firth', 'Olivia Colman']",104 min
